#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
580,2319.89297585982,1602.135457620625,764.6531927995562
585,2352.1129693272,1569.8003520829805,749.2205765552404
590,2373.013176466455,1543.198244286462,736.524155310051
595,2337.519546837038,1540.6465015164765,735.3062818481088
600,2473.1526398759897,1506.699173780845,719.1041982998087
605,2322.2706644521836,1680.0831893449454,801.8554041675033
610,2405.9052929666514,1601.8125692158765,764.4990874469568
615,2224.175361248487,1788.3280449885199,853.5175617449343
620,2583.7072404982036,1502.0209861333503,716.8714338327612
625,2440.1995747362,1682.2815234082288,802.9046058141768
630,2480.567075194511,1682.6717086106494,803.0908299935337
635,2350.046363073064,1781.7488050171758,850.3774796586454
640,2474.2038851298794,1683.678395134993,803.5712925295361
645,2416.2629803796613,1695.0447642826725,808.9961337425376
650,2446.6958849774046,1592.7444924517586,760.1711551131127
655,2430.05439755923,1587.921434853343,757.8692483834773
660,2287.710818393132,1711.2080999419024,816.7104291595283
665,2365.802010853051,1597.4036525611593,762.3948382832665
670,2366.3894897360688,1620.021762081288,773.1898116904101
675,2445.389032218482,1500.9793948364822,716.3743122523391
680,2214.3268364185783,1759.9904240698895,839.9928299822687
685,2426.8361084431212,1557.6653571307852,743.428892343605
690,2317.8670292488314,1623.6543800682587,774.9235558184399
695,2482.2980772397536,1436.7266819661734,685.7083396539418
700,2327.2828638899,1633.4563998240894,779.6017780414919
705,2388.5893088973903,1501.0142527603202,716.3909489372277
710,2375.4953710826467,1529.396436578403,729.9369492906259
715,2373.229268028872,1559.2799236296473,744.1994785149988
720,2286.828843066776,1657.7531437679893,791.1979153986464
725,2450.0148078589755,1488.5685123411113,710.4509548480662
730,2228.444065995818,1730.4739541690324,825.9054674920948
735,2441.3992166485923,1536.057850933539,733.116250847799
740,2384.2736964449887,1642.8801884071445,784.0994813998601
745,2500.5613635682753,1514.514347343799,722.8341559564917
750,2370.027850713666,1617.0402326419194,771.7668134074653
755,2398.2828792233913,1555.8085032052081,742.5426693491626
760,2404.57859288564,1583.8673423242287,755.9343465738037
765,2451.440842272571,1521.8505901282101,726.3355337217549
770,2231.486567264821,1690.7038091727593,806.9243206702994
775,2329.6442975264777,1600.2942149213397,763.7744205946029
780,2375.879112138607,1551.0198252602822,740.2571710397285
785,2390.5740530800103,1541.6850502582818,735.8019513044724
790,2497.181062043451,1380.1262523601697,658.694581855751
795,2270.721473326268,1651.1892355320126,788.0651507088636
800,2522.6401107086517,1334.2979155871103,636.8220342708819
805,2244.36697392042,1577.8119833842113,753.0442978422764
810,2460.500347041287,1407.2638819021558,671.6465922338928
815,2256.126290460221,1637.0764376521277,781.3295180213407
820,2356.3825896931207,1579.3145685165696,753.7614385268831
825,2413.397876141525,1547.6768208569972,738.6616511488504
830,2374.7450577891586,1591.9178527939569,759.776623770194
835,2347.3241669768195,1569.5524974213215,749.1022826510101
840,2322.0508685294535,1547.1684939683423,738.4190413392072
845,2418.4197190399145,1471.3628905508249,702.2392062262718
850,2403.612407934234,1559.260562800498,744.1902381478665
855,2393.7282326816135,1612.2225377418479,769.4674661395727
860,2392.5323053134657,1583.2321298946015,755.6311779433925
865,2388.0814145850377,1604.607696226015,765.8331212094681
870,2407.0497229776715,1601.2609179997069,764.2358001813578
875,2350.9058217894094,1599.2690529835209,763.2851402749138
880,2512.7522399293157,1402.0721909849583,669.168747419348
885,2379.5471007948313,1527.9345555187108,729.2392354896675
890,2291.5236564473507,1547.859733925287,738.7489502976254
895,2307.401214709508,1527.886316350155,729.2162123213838
900,2411.4196153919734,1483.699682586733,708.1272023843313
905,2255.243914371748,1655.2597888265586,790.0079087686333
910,2396.3829013435316,1513.6367889614062,722.4153225702304
915,2356.843806088262,1582.482391132462,755.2733491870854
920,2433.199613338689,1559.6984920490447,744.399249187806
925,2393.658737456654,1577.5721942665946,752.9298533903343
930,2441.8356095602053,1568.5769288232168,748.6366718065665
935,2328.0476303018395,1642.6567774523874,783.9928537741816
940,2377.977606132585,1622.6366875630715,774.437840444201
945,2237.423535139096,1749.9578481828203,835.2045699462263
950,2436.629943899338,1532.2645093596655,731.3057979725164
955,2214.901929429075,1758.3256461692417,839.198279352372
960,2367.0963725113093,1562.5125698262318,745.7423276065986
965,2182.324910899889,1692.2884994228746,807.6806477671034
970,2475.9133703324205,1332.9882297119948,636.1969588559361
975,2250.418983981289,1556.9550357976495,743.0898763929173
980,2243.7324421869444,1534.9695206295203,732.5968220830027
985,2287.0009094588045,1522.891461885692,726.8323118867145
990,2352.8844097064293,1477.3840901634014,705.1129516928866
995,2219.4667891017816,1540.8119569878447,735.3852489877762
1000,2311.709686719498,1407.4492238623093,671.7350506229242
1005,2261.8914472087777,1458.9060285640494,696.2939041326539
1010,2228.8934148857065,1477.9461131384787,705.3811891008257
1015,2266.3368590510754,1509.5126906711,720.4470090233939
1020,2454.5722055108763,1391.7531932938023,664.2437864907934
1025,2320.2089536009853,1531.8334104881774,731.1000468751745
1030,2278.974742361438,1512.2429439977823,721.7500804418991
1035,2262.9358510043567,1511.87863386688,721.5762056902738
1040,2351.352073623129,1471.4024744235367,702.2580984706874
1045,2202.7725934238915,1627.5678501898894,776.7913425958919
1050,2339.041142201539,1548.348724943851,738.9823316523772
1055,2208.7951320192215,1711.8665939864352,817.0247094353916
1060,2289.157034040241,1696.0458825679418,809.4739387181157
1065,2392.5828772337627,1691.7150402028908,807.4069521682605
1070,2405.9772827137626,1629.2206449230202,777.5801740044468
1075,2233.629322383032,1697.9447020216164,810.3801906526172
1080,2246.7959882847877,1689.0819598910884,806.1502586360498
1085,2285.4213787074436,1602.3975191507757,764.7782672336726
1090,2281.13535860456,1586.0230876952633,756.9632218620847
1095,2335.2273199310066,1465.1157824550976,699.2576411354797
1100,2382.232142821708,1365.5877778510644,651.7557859512323
1105,2364.7721187290936,1477.87166330742,705.3456563368813
1110,2452.1332083431507,1373.9039708604705,655.7248657854827
1115,2355.9152955196364,1459.308281158911,696.4858877314874
1120,2371.3547258797844,1460.7673949185269,697.1822807796789
1125,2247.954890597876,1629.0076500670823,777.4785176832736
1130,2430.982619025972,1498.24328106193,715.0684438105526
1135,2357.294021807087,1542.643469531366,736.2593772691238
1140,2260.070958007486,1606.6736446604468,766.8191390015553
1145,2251.1491202865686,1677.827828251441,800.7789851588225
1150,2173.2599928144673,1704.129189287852,813.3318686218311
1155,2161.3141481466378,1705.922615980757,814.1878196216413
1160,2375.260035212883,1489.2379479632011,710.770457224329
1165,2197.9560836958053,1702.3690993539406,812.4918282986624
1170,2396.348814646738,1571.484762796881,750.0244973624627
1175,2301.8202158938307,1680.170348831767,801.8970028847426
1180,2342.5836654303466,1553.8191861440157,741.5932255083837
1185,2230.0514021194344,1649.2064453315916,787.1188219510848
1190,2229.5829487507217,1694.2167665577733,808.6009542332374
1195,2364.223180061087,1518.8169083512391,724.8876446274435
1200,2185.322257153832,1693.7338504102663,808.3704722397896
1205,2311.093174119038,1547.5567838240088,738.6043609240494
1210,2532.7930766206196,1452.72401213087,693.3434054210217
1215,2464.290214295818,1486.2574095629448,709.3479319358603
1220,2495.998174223837,1490.9372008744572,711.5814617856385
1225,2496.545289338448,1486.9784433112131,709.6920606143108
1230,2511.2071339435633,1414.5845353035781,675.1405296348476
1235,2327.782431825943,1572.3304370201352,750.4281133562314
1240,2261.9951215300957,1630.2825048651298,778.0869692265225
1245,2335.0236338970576,1510.140494757518,720.74664186458
1250,2304.1990357303634,1522.691036112733,726.7366544274881
1255,2268.8034226328855,1562.0470185981137,745.5201333899366
1260,2230.596752775483,1592.1544187170937,759.889529884077
1265,2365.2319203159627,1465.6629311992779,699.5187795006433
1270,2242.549791751693,1617.098789068549,771.7947607064083
1275,2278.192554929421,1582.2876001145225,755.1803810344318
1280,2307.809638464917,1545.0379787823138,737.4022076928661
1285,2265.4436621427208,1602.571248886085,764.8611834416354
1290,2175.9376859111194,1613.409365324239,770.0339048235562
1295,2282.8908475986286,1485.9557361555424,709.2039518915665
1300,2160.1881706824784,1567.6585229282236,748.1983430769001
1305,2188.626103031792,1651.8982492308446,788.4035425632925
1310,2340.8180775309647,1547.043951989872,738.3596010334442
1315,2220.5892515817736,1633.5277591074212,779.6358357758588
1320,2354.301583323984,1499.8954056556831,715.856955380849
1325,2235.430249398398,1673.0790949030936,798.512551256935
1330,2331.3373967903663,1590.6415818711373,759.1674963513049
1335,2272.144732634797,1603.3720203097748,765.2433686201199
1340,2200.772766325148,1638.7055519739083,782.1070474503662
1345,2278.642358535327,1550.3779284478392,739.9508121455739
1350,2411.2340270728855,1475.9589460386055,704.4327713747734
1355,2440.7243590044445,1467.491820786812,700.3916559205078
1360,2236.0849943340745,1630.5382823625173,778.2090444724657
1365,2335.7226624583163,1553.985013088794,741.6723699416298
1370,2388.4531238436452,1475.014010077432,703.9817806072539
1375,2328.215176389418,1508.5029205871933,719.9650747930638
1380,2220.0768933441345,1565.525199315147,747.1801690490707
1385,2309.59249017719,1566.0590760720786,747.434973076288
1390,2325.284314752946,1541.615358010067,735.7686891980397
1395,2246.2511057203546,1611.0260851204885,768.8964337012079
1400,2295.2290482080566,1552.0740098779913,740.760303050132
1405,2298.124790954003,1571.1277084749552,749.8540855998586
1410,2283.0210893461167,1600.10025392508,763.6818485874339
1415,2229.727165141511,1581.8159198016003,754.9552615818029
1420,2314.85513371667,1494.262665367798,713.1686103817696
1425,2368.3461507358943,1456.5266229336598,695.1582822327774
1430,2261.2338931151326,1558.6688497552132,743.9078305230017
1435,2271.99735763224,1485.046985645842,708.7702313997095
1440,2172.5483385430025,1602.810743991316,764.9754875699184
1445,2361.3703214431885,1420.134335972783,677.7892899384308
1450,2253.8371138982116,1592.1183076584052,759.8722951139518
1455,2436.112986958795,1407.1995426912163,671.6158849782528
1460,2352.7487164963213,1489.4580457102666,710.8755035512304
1465,2274.506918602426,1561.356591413033,745.1906123441621
1470,2275.6040814641137,1600.8696784639283,764.049072799001
1475,2279.2687578088025,1525.257754859564,727.9616754926218
1480,2377.586270099745,1490.9373844069676,711.581549380429
1485,2237.060710950918,1534.4909765369302,732.368426745671
1490,2418.4998450513513,1416.3870669126134,676.000826149362
1495,2376.1883467270677,1515.4877554261868,723.2987356488982
1500,2330.715856460877,1583.6440346516918,755.8277682417597
1505,2339.803002416295,1648.937778614479,786.9905950511295
1510,2493.1038469078776,1494.9150265390567,713.4799636135384
1515,2352.0944342426387,1594.674193680269,761.0921460308975
1520,2417.877848517653,1591.908026324536,759.7719338788487
1525,2452.6158450120565,1539.3746909768115,734.6992832418641
1530,2542.6812678890487,1497.7900078355294,714.85210953112
1535,2558.4655521466307,1559.1072124385614,744.1170484289111
1540,2638.3717452352575,1518.4126230161357,724.6946908601334
1545,2534.826221397024,1586.874728616195,757.3696855891134
1550,2442.956431192018,1635.0993142362886,780.3858938569238
1555,2452.1278302824867,1666.7812530501972,795.5067724024331
1560,2396.9580680291238,1670.994568273468,797.5176666264019
1565,2483.9618508042176,1608.7902024088798,767.8293111642059
1570,2489.4420978646003,1601.13748311382,764.1768882590561
1575,2561.5063221234795,1538.6490859737498,734.3529728349237
1580,2453.935291988636,1728.097064983812,824.7710466191503
1585,2572.852328756593,1556.0834571037637,742.6738969400652
1590,2524.400491550897,1560.1281870609541,744.6043302633317
1595,2521.666965061793,1648.9682569636902,787.0051414909606
1600,2407.2599277129366,1795.102060297572,856.7506045001531
1605,2342.3451442585374,1784.1839364867662,851.539697899464
1610,2303.9545062276143,1865.2325877833978,890.2218890283631
1615,2448.660814754853,1686.7316321093365,805.0285147573449
1620,2415.900198482074,1725.3638650211958,823.4665688560291
1625,2465.6932431643427,1640.6879006770766,783.0531654941992
1630,2494.861621089938,1624.4341411844962,775.2957133812203
1635,2583.442738395122,1543.0972794000684,736.4759676724987
1640,2487.801241914904,1599.4436365316394,763.3684639831833
1645,2517.253560618085,1525.5903465821514,728.120411959857
1650,2313.21700469219,1659.6800146654678,792.1175554808012
1655,2365.1695567023967,1626.585364621765,776.3224304805195
1660,2399.8627130925297,1562.9553986057672,745.9536770518184
1665,2317.0461724927623,1662.9112005748966,793.6597076193245
1670,2375.701937356498,1615.927312009583,771.2356483859306
1675,2359.251842975477,1641.2726013380814,783.3322263096519
1680,2544.748730446305,1384.0507835523954,660.567647764194
1685,2348.8760484065238,1601.1835962243752,764.19889672098
1690,2368.5102992575767,1598.8844594100108,763.1015848192775
1695,2513.380794534682,1431.0313060894,682.9901004890487
1700,2374.710582232256,1633.2522865840544,779.5043606602442
1705,2434.3415566548574,1550.3228225031382,739.9245116624547
1710,2383.7012193700225,1580.058474936788,754.11648367407
1715,2377.185350541395,1567.2173659351283,747.9877915272845
1720,2194.487054368304,1733.9416756454198,827.5605112563701
1725,2371.842000435884,1596.9334396583,762.170419183273
1730,2245.5717530162615,1717.1142357507233,819.5292579806753
1735,2254.1969339188245,1603.3366476383883,765.2264862610253
1740,2356.727837477939,1441.4037215738658,687.9405561945977
1745,2367.45065674991,1432.609199164442,683.743183489608
1750,2318.2869172322967,1488.612918818917,710.4721487832442
1755,2266.6235988934914,1593.9877712990685,760.7645363628776
1760,2263.956511682081,1566.6564208824238,747.7200685807037
1765,2331.53210178351,1579.7808039454428,753.9839592928948
1770,2317.8551819698628,1574.5019812604885,751.4645289906233
1775,2279.52265711735,1626.6740812398318,776.3647723717351
1780,2321.476728871455,1619.2804675784785,772.8360131363104
1785,2384.5670409720815,1600.8835135829552,764.0556759035553
1790,2551.0019677965297,1418.2834189039188,676.9059004350139
1795,2303.9695965521423,1657.0569025578716,790.8656194858739
1800,2433.906902880841,1535.5731134299735,732.8848995734684
1805,2503.148813423525,1573.5543981240928,751.0122748024761
1810,2587.6051019589636,1441.9594031387571,688.2057670297696
1815,2411.1797281641275,1597.8156968528176,762.5914951774715
1820,2466.828515327185,1619.804224309335,773.0859871660309
1825,2439.7373386178115,1703.5812710800549,813.070363013805
1830,2487.9067517262342,1616.5658945193325,771.5404254586952
1835,2397.3323221759597,1665.651054682939,794.9673612147521
1840,2394.4019884188756,1680.1019834869367,801.8643740711472
1845,2268.855422067472,1792.6182593419983,855.5651577129142
1850,2442.4617065351767,1617.0517964981268,771.7723325035743
1855,2380.7461111401244,1776.6971685437513,847.966478803572
1860,2484.1472288992404,1666.963506212541,795.5937565970722
1865,2459.796604679104,1571.5676057131268,750.064035904667
1870,2332.086054130322,1676.7460850210502,800.2627002148915
1875,2394.2201958392548,1621.0457659884394,773.6785393153547
1880,2339.4366787247595,1668.2768481079593,796.2205769253986
1885,2317.3834603155146,1594.650116035877,761.0806544634576
1890,2377.3341793247764,1600.2554020580035,763.7558963307956
1895,2386.4143712058653,1546.4475078765108,738.0749354058039
1900,2381.5161682770145,1598.4879518337639,762.9123431526605
1905,2469.5615120828643,1613.6558029380658,770.1515224115961
1910,2361.4181173730603,1756.7728189562008,838.4571595671066
1915,2585.7546537807716,1485.6456129562246,709.0559390045214
1920,2292.430037805369,1689.9188902633941,806.549701441145
1925,2356.5408497618882,1635.640769225399,780.644314756487
1930,2453.7074861510087,1637.506410512496,781.5347317059477
1935,2480.2421232516745,1680.1774672020492,801.9004002782265
1940,2441.454916119192,1702.7238590837019,812.6611449183954
1945,2411.5019743530047,1749.3767145285778,834.9272115605505
1950,2424.4402395632014,1680.5588356511685,802.0824164747128
1955,2521.9507122289197,1532.3216806218422,731.3330841722892
1960,2404.5411335365916,1633.9311515460672,779.8283633893603
1965,2498.9592540227595,1492.5254313847245,712.3394785468311
1970,2342.7914449770924,1639.3049439994904,782.3931200317573
1975,2397.721902301498,1601.7671632409213,764.4774164805247
1980,2281.074400361608,1662.142215987926,793.29269338414
1985,2427.837428820044,1433.6590625787317,684.2442531138532
1990,2232.8683570270373,1562.6750493949398,745.8198744334828
1995,2212.3913476527637,1513.7586263246305,722.4734720408937
2000,2244.6438606780157,1451.5320956783496,692.7745379656296
2005,2209.662268672283,1438.0695771892504,686.3492649359065
2010,2154.718850396295,1496.2328693926336,714.108932119792
2015,2224.7130031971674,1494.869029830641,713.4580107070091
2020,2259.0958603986446,1489.0073810447232,710.6604142628993
2025,2284.5042569561947,1515.9985336870072,723.5425154279993
2030,2241.16775721826,1579.3309170309913,753.7692412027997
2035,2317.7054474232527,1495.2722138996028,713.6504388716509
2040,2397.8001535243056,1394.8193466737202,665.7071733476384
2045,2240.333064904456,1520.193883383623,725.5448352226015
2050,2286.3410072280153,1530.2164733350546,730.3283292586581
2055,2311.9404239267838,1474.8841434804656,703.9197990141646
2060,2334.147373243623,1517.4889685037876,724.2538571163003
2065,2189.2996901116812,1698.467082492261,810.6295078329059
2070,2368.375216039016,1589.578699639299,758.6602132197323
2075,2324.397187114468,1641.4722547543447,783.4275151452325
2080,2381.967358655134,1510.9530464972174,721.1344494492139
2085,2291.3879341740794,1606.6490463498778,766.8073989351179
2090,2427.4337173142517,1534.4647991422341,732.3559330277782
2095,2285.9867543632026,1596.190614826269,761.8158902470326
2100,2375.9573709627794,1576.0561600032827,752.2062938221836
2105,2254.256940812536,1700.9450851301824,811.8121872498301
2110,2344.0287139315537,1587.2899121140726,757.5678407361951
2115,2341.516350884492,1651.3755226952612,788.1540602161579
2120,2357.369246174182,1538.951997950421,734.4975440127208
2125,2292.5407497094293,1550.5649862163887,740.0400894406235
2130,2333.8234020760106,1494.7970680789895,713.423665431834
2135,2302.2721272560084,1589.9760592207574,758.8498615239419
2140,2249.1946759207212,1553.0545146460545,741.2282697865827
2145,2326.3877267464068,1472.167232774925,702.6230956451321
2150,2247.4037110134855,1519.233042760493,725.0862536171866
2155,2355.0766308898515,1460.323032065909,696.9701991654811
2160,2279.5225878576293,1500.0359477317515,715.9240320731956
2165,2385.784493824095,1364.7542590453065,651.3579713887684
2170,2365.676312089,1407.5244337801446,671.7709461544346
2175,2377.625476409285,1338.702208254477,638.9240765383486
2180,2245.9992975000905,1491.0382522103578,711.6296906830551
2185,2294.2619371531487,1428.7143960485014,681.8843059372988
2190,2204.9080362679956,1493.182431081634,712.653045613536
2195,2335.23417470794,1436.1761719138633,685.4455970330449
2200,2131.241245578786,1648.7283955842151,786.8906625505111
2205,2266.214274314839,1482.4314833083624,707.5219273292793
2210,2247.851908353617,1480.6861664147457,706.6889377535208
2215,2138.123851512307,1536.0628094802694,733.1186174195961
2220,2230.0715096573235,1482.0323365421948,707.3314260531894
2225,2344.189045601301,1446.092503040568,690.1783767869825
2230,2266.5150224715776,1411.3106286096674,673.5779880941064
2235,2242.987732654864,1516.228445035668,723.6522455048027
2240,2194.8956494532263,1553.947128254837,741.6542885995648
2245,2297.1444181976376,1408.3364163772728,672.1584821036818
2250,2100.1977544802535,1580.1572605873284,754.1636312250022
2255,2338.651609929716,1380.5820849483562,658.9121376449827
2260,2157.54879541876,1557.54251799623,743.3702647562861
2265,2244.787594497326,1431.9474941389929,683.4273707048684
2270,2162.9985411215785,1515.8464126190631,723.4699124157245
2275,2347.396456008049,1354.979046457564,646.6925434563434
2280,2072.593892640661,1567.8814039192969,748.3047177661485
2285,2198.588871226289,1476.7604830846449,704.8153219627939
2290,2193.952576121433,1536.0512289325934,733.1130903571292
2295,2174.469281015318,1588.5249017715087,758.1572657939461
2300,2390.834306453429,1374.663860374835,656.0875392039942
2305,2344.935912732704,1502.3894847619965,717.0473076339408
2310,2445.219666448397,1425.7100295579091,680.4504081863663
2315,2383.0689998355756,1497.8965122534755,714.9029410278217
2320,2426.80678138336,1397.4317190297488,666.9539835679085
2325,2397.929567975995,1464.216612836305,698.8284933274042
2330,2255.9642707218136,1621.5557257429653,773.9219284449334
2335,2363.9856438638913,1485.856951385894,709.1568047610587
2340,2301.892505825619,1536.3926603570683,733.2760457599354
2345,2333.830323178231,1475.2079785722174,704.0743561932536
2350,2360.486376883905,1494.4178422134398,713.2426718288865
2355,2426.027915502016,1482.7296231771868,707.6642209171985
2360,2436.7267380302856,1493.3428549789226,712.7296113275521
2365,2339.3563783699356,1523.8285336461854,727.2795492973437
2370,2351.8101497838406,1547.8638855474132,738.7509317475078
2375,2288.857632335578,1574.8684417819936,751.6394300618598
2380,2353.877610537171,1573.1412526903257,750.8150923648003
2385,2439.524592851296,1555.9368142568892,742.603908525209
2390,2526.071877870352,1457.1313404428092,695.4468965143685
2395,2460.4385673021247,1525.5544011171876,728.1032562228559
2400,2450.9887014019046,1532.349397934326,731.3463128486696
2405,2276.4814939715934,1675.314479468243,799.5794360429536
2410,2302.3786362942533,1689.822036508795,806.5034759286038
2415,2283.554282687101,1701.1802125665304,811.924406815325
2420,2343.2534678979355,1588.7067250981822,758.2440448403776
2425,2253.800861765231,1660.4342994619894,792.4775539286211
2430,2316.378576987111,1578.318384526677,753.2859885486282
2435,2285.1957541947263,1550.1013427184662,739.8188057287371
2440,2241.5383927225553,1530.9239550215532,730.6659899276453
2445,2271.49614369323,1550.620764142219,740.0667106410165
2450,2383.7431347783204,1431.1375736570167,683.0408189438976
2455,2256.6083827373463,1522.3679932615235,726.582475362033
2460,2190.0229007210373,1557.3944730735388,743.299607170952
2465,2260.8696331700144,1543.743405004441,736.7843448474641
2470,2383.1378715174283,1412.2446194398447,674.0237550652719
2475,2192.103600582231,1559.505061571533,744.3069303819832
2480,2263.0424151302886,1438.282772570669,686.4510169621266
2485,2309.67496482556,1443.448584919494,688.9165106799916
2490,2146.6245339186166,1612.7398010985323,769.7143410684844
